school_name,source_course_code,source_course_title,target_course_code,target_course_title,effective_date,confidence_level
Arizona State University,HST 100,GLOBAL HISTORY TO 1500,HISTORY 1681,intentionally left blank,20104 To Present,verified_by_osu_equivalency
Arizona State University,HST 109,UNITED STATES TO 1865,HISTORY 1151,intentionally left blank,20014 To Present,verified_by_osu_equivalency
